大陆央视p2p,#genre#
CCTV1,p2p://142.54.189.230:2215/9f8f5ae001e34d68bfb289a761ba6fbc.ts
CCTV2,p2p://142.54.189.230:2215/38dd6016fa0e4faf86067a5cb877bf31.ts
CCTV3,p2p://142.54.189.230:2215/a9344197d48a4f48b0c08e436b578d8d.ts
CCTV4,p2p://142.54.189.230:2215/58184e852f1945d3ad0a355d1fbf60a1.ts
CCTV5,p2p://142.54.189.230:2215/8998d09ef6a54524ae70ad38ca3db7bf.ts
CCTV5+,p2p://142.54.189.230:2215/e15e51b4bb454ce3b657e47dd63f3a4d.ts
CCTV6,p2p://142.54.189.230:2215/3a3934fd1f6b4066855a6a0f5f19c021.ts
CCTV7,p2p://142.54.189.230:2215/f5b1d8f294324e8a9b1b9c03c6ab07f6.ts
CCTV8,p2p://142.54.189.230:2215/59904f7fc4ed4fd6853c3742ccc2cbef.ts
CCTV9,p2p://142.54.189.230:2215/ba7a62d5b84245deb8251effc5110eaf.ts
CCTV10,p2p://142.54.189.230:2215/8afb1d857bd747d28e8578de35e0897b.ts
CCTV11,p2p://142.54.189.230:2215/accb2d7f7e144e969d24eac5c58af517.ts
CCTV12,p2p://142.54.189.230:2215/f0a6d9bce8a147be8dfceb03ada87b7c.ts
CCTV13,p2p://142.54.189.230:2215/fd306f67d170415b82d0c55bf96ae06b.ts
CCTV14,p2p://142.54.189.230:2215/0330205fcbad4a70b6d58c61257531a6.ts
CCTV15,p2p://142.54.189.230:2215/7184b65eeaae4ab1a96dc8b16743b6db.ts

大陆央视p5p,#genre#
CCTV1,p5p://142.54.189.230:2215/9f8f5ae001e34d68bfb289a761ba6fbc.ts
CCTV2,p5p://142.54.189.230:2215/38dd6016fa0e4faf86067a5cb877bf31.ts
CCTV3,p5p://142.54.189.230:2215/a9344197d48a4f48b0c08e436b578d8d.ts
CCTV4,p5p://142.54.189.230:2215/58184e852f1945d3ad0a355d1fbf60a1.ts
CCTV5,p5p://142.54.189.230:2215/8998d09ef6a54524ae70ad38ca3db7bf.ts
CCTV5+,p5p://142.54.189.230:2215/e15e51b4bb454ce3b657e47dd63f3a4d.ts
CCTV6,p5p://142.54.189.230:2215/3a3934fd1f6b4066855a6a0f5f19c021.ts
CCTV7,p5p://142.54.189.230:2215/f5b1d8f294324e8a9b1b9c03c6ab07f6.ts
CCTV8,p5p://142.54.189.230:2215/59904f7fc4ed4fd6853c3742ccc2cbef.ts
CCTV9,p5p://142.54.189.230:2215/ba7a62d5b84245deb8251effc5110eaf.ts
CCTV10,p5p://142.54.189.230:2215/8afb1d857bd747d28e8578de35e0897b.ts
CCTV11,p5p://142.54.189.230:2215/accb2d7f7e144e969d24eac5c58af517.ts
CCTV12,p5p://142.54.189.230:2215/f0a6d9bce8a147be8dfceb03ada87b7c.ts
CCTV13,p5p://142.54.189.230:2215/fd306f67d170415b82d0c55bf96ae06b.ts
CCTV14,p5p://142.54.189.230:2215/0330205fcbad4a70b6d58c61257531a6.ts
CCTV15,p5p://142.54.189.230:2215/7184b65eeaae4ab1a96dc8b16743b6db.ts

大陆央视p6p,#genre#
CCTV1,p6p://142.54.189.230:2215/9f8f5ae001e34d68bfb289a761ba6fbc.ts
CCTV2,p6p://142.54.189.230:2215/38dd6016fa0e4faf86067a5cb877bf31.ts
CCTV3,p6p://142.54.189.230:2215/a9344197d48a4f48b0c08e436b578d8d.ts
CCTV4,p6p://142.54.189.230:2215/58184e852f1945d3ad0a355d1fbf60a1.ts
CCTV5,p6p://142.54.189.230:2215/8998d09ef6a54524ae70ad38ca3db7bf.ts
CCTV5+,p6p://142.54.189.230:2215/e15e51b4bb454ce3b657e47dd63f3a4d.ts
CCTV6,p6p://142.54.189.230:2215/3a3934fd1f6b4066855a6a0f5f19c021.ts
CCTV7,p6p://142.54.189.230:2215/f5b1d8f294324e8a9b1b9c03c6ab07f6.ts
CCTV8,p6p://142.54.189.230:2215/59904f7fc4ed4fd6853c3742ccc2cbef.ts
CCTV9,p6p://142.54.189.230:2215/ba7a62d5b84245deb8251effc5110eaf.ts
CCTV10,p6p://142.54.189.230:2215/8afb1d857bd747d28e8578de35e0897b.ts
CCTV11,p6p://142.54.189.230:2215/accb2d7f7e144e969d24eac5c58af517.ts
CCTV12,p6p://142.54.189.230:2215/f0a6d9bce8a147be8dfceb03ada87b7c.ts
CCTV13,p6p://142.54.189.230:2215/fd306f67d170415b82d0c55bf96ae06b.ts
CCTV14,p6p://142.54.189.230:2215/0330205fcbad4a70b6d58c61257531a6.ts
CCTV15,p6p://142.54.189.230:2215/7184b65eeaae4ab1a96dc8b16743b6db.ts
